ts_utc,kind,magic,side,why,reason,ok,signal_time_utc,decision_time_utc,signal_age_seconds,reversal_direction,reversal_brick_price,reversal_brick_index,m1_closed_bar_time_utc,bid_at_decision,ask_at_decision,spread_at_decision,quote_at_decision,chase_price_signed,chase_points_signed,atr_m1_14_at_decision,atr_over_brick_at_decision,ema20_at_decision,ema50_at_decision,shadow_chase_50_pass,shadow_chase_100_pass,requested_price,fill_price,fill_distance_from_brick,adverse_slippage_price,adverse_slippage_points,slippage_usd,bid,ask,spread,bid_after_fill,ask_after_fill,spread_after_fill,latency_ms,retcode,broker_comment,deal,order,request_id,basket_before,positions,recovery,cycle_direction,protection_state,daily_total,trail_armed,peak,floor,trigger_total,final_total,execution_gap,day,bot_value,activate,giveback,daily_loss_limit,balance,equity,margin,margin_free,margin_level
2026-08-31T05:41:50.102,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77941.38,,,,,,77941.38,77951.38,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:53:18.251,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,78027.23,,,,,,78017.23,78027.23,10.0,,,,0.4,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:53:38.454,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,78007.53,,,,,,77997.53,78007.53,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:53:58.617,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,78029.37,,,,,,78019.37,78029.37,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:54:18.867,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,78002.51,,,,,,77992.51,78002.51,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:54:39.072,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,78002.62,,,,,,77992.62,78002.62,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:54:59.312,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77989.96,,,,,,77979.96,77989.96,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:55:19.599,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,78007.46,,,,,,77997.46,78007.46,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:55:39.747,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,78011.76,,,,,,78001.76,78011.76,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:55:59.936,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77993.12,,,,,,77983.12,77993.12,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:56:20.091,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77967.6,,,,,,77957.6,77967.6,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:56:40.246,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77951.56,,,,,,77941.56,77951.56,10.0,,,,0.4,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:57:00.446,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77960.41,,,,,,77950.41,77960.41,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
