signal_time_utc,side,verdict,h1_close,h1_ema75,m15_close,m15_ema75
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:36:00,BUY,not_filtered_buy,,,,
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:43:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:50:00,BUY,not_filtered_buy,,,,
2026-08-19T15:50:00,BUY,not_filtered_buy,,,,
2026-08-19T15:51:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:51:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:51:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:51:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:51:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:51:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:51:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:51:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:51:00,SELL,blocked,65871.35,64105.61,68635.66,64815.44
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T15:55:00,BUY,not_filtered_buy,,,,
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68508.5,64912.87
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68508.5,64912.87
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68508.5,64912.87
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68508.5,64912.87
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68508.5,64912.87
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68508.5,64912.87
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68521.62,65008.15
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68521.62,65008.15
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68521.62,65008.15
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68521.62,65008.15
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68521.62,65008.15
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68521.62,65008.15
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68521.62,65008.15
