symbol,tf,state,k,nA,meanA_bp,tA,eocA,nB,meanB_bp,tB,eocB,same_sign,cost_bp
US30m,H1,all_bars,4,15063,1.1510627088683845,1.828350571607959,0.6759003596310812,15059,0.8886185922495304,2.848799123300596,0.5217940095260257,True,1.7030065045336795
USTECm,M15,bigmove_up,1,639,0.17484154364692012,0.13582885570306738,0.2107627001109521,658,-0.6244668120857422,-0.7962375426768019,0.7527633804849903,False,0.8295658745825425
USTECm,M15,bigmove_up,4,639,1.4009611817930465,0.7208971872129811,1.6887883466735463,658,0.01700527391199055,0.011982044308672094,0.02049900367532357,True,0.8295658745825425
USTECm,M15,bigmove_down,1,726,-1.1013322963910679,-0.9171353844814649,1.327600773049259,693,0.433337655308005,0.44385124763434686,0.5223667807286202,False,0.8295658745825425
USTECm,M15,bigmove_down,4,726,-1.4067368949746335,-0.7641274810671224,1.6957506788505943,693,-1.1974117586912507,-0.6994969155558718,1.4434197396244355,True,0.8295658745825425
USTECm,M15,hivol,1,6661,0.24674453610591063,0.992481012752422,0.2974381464643521,7054,0.2600680648696053,1.468560096312884,0.3134989912651335,True,0.8295658745825425
USTECm,M15,hivol,4,6661,0.8755205039797903,1.8474464776246167,1.0553959978408867,7054,1.4006786215232767,4.063005188229492,1.68844773445886,True,0.8295658745825425
USTECm,M15,lovol,1,6596,0.06757440386990148,0.4614890358128713,0.08145755019624756,6483,-0.04420121880545393,-0.360793262804735,0.05328234943089607,False,0.8295658745825425
USTECm,M15,lovol,4,6596,-0.04268742215914106,-0.13423983837405712,0.051457543598478414,6483,-0.5304633326766948,-1.9131501102037223,0.6394469070266863,True,0.8295658745825425
USTECm,M15,session_open,1,1108,0.16025247457501277,0.6189368860313053,0.19317631002559701,1100,0.33546225648678785,1.3257159498191782,0.40438290287145734,True,0.8295658745825425
USTECm,M15,session_open,4,1108,-0.02989549971952228,-0.05619322979033016,0.036037523523453054,1100,1.2578299988356438,2.4002065280945835,1.5162508938408468,False,0.8295658745825425
USTECm,M15,all_bars,1,25000,0.06115140624595057,0.6019640942579558,0.07371494913134345,24999,0.0842351516644446,1.040536632163595,0.10154124493950978,True,0.8295658745825425
USTECm,M15,all_bars,4,25000,0.24503114109735477,1.2172200775463278,0.29537273483032356,24996,0.33704971313229665,2.0992529512477978,0.40629650213361074,True,0.8295658745825425
USTECm,H1,bigmove_up,1,407,-1.5883362174558477,-0.40547129289254824,0.7343466545303713,415,-3.309102020504321,-1.611445385524543,1.529920410773854,True,2.162924291486858
USTECm,H1,bigmove_up,4,407,2.569778231082173,0.44117651791492213,1.1881036433853316,415,4.838811966183681,1.2305565195780133,2.2371619687424835,True,2.162924291486858
USTECm,H1,bigmove_down,1,478,-1.7574076541991364,-0.4275165270382726,0.812514640996076,484,-2.094845152779217,-1.0527201440724123,0.9685244929859097,True,2.162924291486858
USTECm,H1,bigmove_down,4,478,-0.9507320710865672,-0.15401281068511596,0.43955864513085013,484,4.0419592655837615,1.0521324917217088,1.8687474552357999,False,2.162924291486858
USTECm,H1,hivol,1,3762,1.2521826787714463,1.6231582914561027,0.5789304247494761,4092,0.9415124306696192,1.6090767715134178,0.43529606393314657,True,2.162924291486858
USTECm,H1,hivol,4,3762,4.965185552959222,3.4453711928275914,2.295589157929336,4089,4.273525952181752,3.693540280538127,1.9758093101095113,True,2.162924291486858
USTECm,H1,lovol,1,4374,-0.11386274385317707,-0.26118417729322885,0.052642963187076904,3924,-0.22929155028682946,-0.7554738368404992,0.10600997510144364,True,2.162924291486858
USTECm,H1,lovol,4,4374,0.1690065081996128,0.1815964078914312,0.07813796759545047,3924,-1.0691682341178772,-1.6763222285945818,0.4943160693724048,False,2.162924291486858
USTECm,H1,session_open,1,1538,4.311631182119214,1.4422354445122696,1.9934267690688665,632,0.47283645531783375,0.6806522919082914,0.21860980394870502,True,2.162924291486858
USTECm,H1,session_open,4,1538,18.65654844972273,3.49038154188267,8.625613260322519,632,0.746734300454189,0.5846276053942397,0.3452429210737014,True,2.162924291486858
