market,report_date,usable_from,open_interest,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
nikkei,2019-07-02,2019-07-05,26137,11973,18402,1,8849,5161,5314,2573
nikkei,2019-07-09,2019-07-12,26512,11318,18719,14,8835,5169,6345,2610
nikkei,2019-07-16,2019-07-19,27565,12914,18582,1115,8576,5170,4960,2698
nikkei,2019-07-23,2019-07-26,26215,10694,17201,1138,8591,5188,5792,2688
nikkei,2019-07-30,2019-08-02,26849,11050,17406,1196,8573,5471,6030,2776
nikkei,2019-08-06,2019-08-09,28373,12627,19578,579,9515,4572,5652,3644
nikkei,2019-08-13,2019-08-16,28836,12999,19130,1073,9784,4997,4980,3636
nikkei,2019-08-20,2019-08-23,30898,13807,20720,1077,10751,4791,5263,4310
nikkei,2019-08-27,2019-08-30,30963,13255,20810,810,10763,4826,6135,4517
nikkei,2019-09-03,2019-09-06,32613,14902,21496,1391,10808,4606,5512,5120
nikkei,2019-09-10,2019-09-13,44995,13303,23645,8696,11785,4992,11211,7662
nikkei,2019-09-17,2019-09-20,20093,4558,12332,48,10142,4746,5345,2967
nikkei,2019-09-24,2019-09-27,20977,5714,13126,70,9668,4540,5525,3241
nikkei,2019-10-01,2019-10-04,24212,8471,15902,61,11131,4531,4549,3718
nikkei,2019-10-08,2019-10-11,23223,5360,15882,45,11713,4537,6105,2759
nikkei,2019-10-15,2019-10-18,26929,8780,18948,55,12754,4529,5340,3397
nikkei,2019-10-22,2019-10-25,27151,8937,19023,57,12126,4521,6031,3550
nikkei,2019-10-29,2019-11-01,28402,9247,19837,598,12238,4496,6319,3471
nikkei,2019-11-05,2019-11-08,34272,15174,20943,299,12766,7572,6033,5458
nikkei,2019-11-12,2019-11-15,34292,15824,21464,466,12911,7584,5091,4778
nikkei,2019-11-19,2019-11-22,34505,15799,22229,443,12902,7559,5361,4274
nikkei,2019-11-26,2019-11-29,34628,15619,22711,448,12963,7548,5598,3921
nikkei,2019-12-03,2019-12-06,39622,17537,26496,245,14075,7330,7765,5551
nikkei,2019-12-10,2019-12-13,46177,19222,28720,2583,16284,10517,8088,4357
nikkei,2019-12-17,2019-12-20,22787,5715,11547,35,10740,7596,6297,3609
nikkei,2019-12-24,2019-12-27,22457,5767,11048,33,10901,7584,5756,3792
nikkei,2019-12-31,2020-01-03,22444,4864,11817,28,10759,7585,6793,3014
nikkei,2020-01-07,2020-01-10,20507,3046,11008,30,9976,7579,7455,1890
nikkei,2020-01-14,2020-01-17,20711,3703,10987,21,9137,7561,7850,2142
nikkei,2020-01-21,2020-01-24,20912,3722,11237,20,9953,7561,7217,2094
nikkei,2020-01-28,2020-01-31,20981,4334,10417,35,10743,7250,5869,3279
nikkei,2020-02-04,2020-02-07,17556,2169,8064,23,9634,6755,5730,2714
nikkei,2020-02-11,2020-02-14,18958,2728,8448,386,9937,6742,5907,3382
nikkei,2020-02-18,2020-02-21,19674,2619,8476,517,10335,6764,6203,3917
nikkei,2020-02-25,2020-02-28,19559,3051,8306,603,10120,6886,5785,3764
nikkei,2020-03-03,2020-03-06,17253,2797,4218,1043,8125,8127,5288,3865
nikkei,2020-03-10,2020-03-13,19285,3668,2711,201,8214,9923,7202,6450
nikkei,2020-05-26,2020-05-29,14916,2710,5543,0,8866,4474,3340,4899
nikkei,2020-06-02,2020-06-05,17377,3118,7865,1,10766,4671,3492,4840
nikkei,2020-06-09,2020-06-12,23196,4538,10511,590,13686,8022,4382,4073
nikkei,2020-09-08,2020-09-11,16671,2424,4094,1635,7809,7013,4803,3929
nikkei,2020-09-22,2020-09-25,14740,3173,3641,0,7898,6774,3669,4325
nikkei,2020-09-29,2020-10-02,14714,3309,2607,7,7517,8016,3881,4084
nikkei,2020-10-06,2020-10-09,14876,3686,1826,3,7628,9520,3559,3527
nikkei,2020-10-13,2020-10-16,17352,5785,1700,3,7557,12644,4007,3005
nikkei,2020-10-20,2020-10-23,17322,6502,1764,3,6626,12523,4191,3032
nikkei,2020-10-27,2020-10-30,17403,6252,2029,201,6992,12516,3958,2657
