ts_utc,ts_ms,open_interest,contract_volume,long_short,taker_buy,taker_sell,funding_okx
2026-07-14T17:00:00+00:00,1784048400000,2532348504.7631,358182006.9678,1.31,194379377.8405,163802629.1272,7.99498182818e-05
2026-07-14T18:00:00+00:00,1784052000000,2599631432.1365,434062319.742,1.29,208128199.317,225076028.6296,7.99498182818e-05
2026-07-14T19:00:00+00:00,1784055600000,2592993329.0569,128427548.7489,1.28,65450668.166,62976880.5829,7.99498182818e-05
2026-07-14T20:00:00+00:00,1784059200000,2585792813.4832,106453053.8527,1.28,47982692.5893,58470361.2634,7.99498182818e-05
2026-07-14T21:00:00+00:00,1784062800000,2593268914.0652,76607260.7856,1.27,36067418.0999,40539842.6856,7.99498182818e-05
2026-07-14T22:00:00+00:00,1784066400000,2569166087.0881,160257666.2345,1.28,80957199.9604,79300466.2741,7.99498182818e-05
2026-07-14T23:00:00+00:00,1784070000000,2560336871.6994,360441598.1515,1.26,135438338.512,225003007.9606,7.99498182818e-05
2026-07-15T00:00:00+00:00,1784073600000,2565505105.4689,138907029.4697,1.26,65016949.6805,73889365.1016,0.0001
2026-07-15T01:00:00+00:00,1784077200000,2560044431.8857,148804128.9337,1.27,88623491.0818,60180637.8519,0.0001
2026-07-15T02:00:00+00:00,1784080800000,2561611514.1232,143651998.5464,1.24,78024251.1422,65584873.1178,0.0001
2026-07-15T03:00:00+00:00,1784084400000,2566261746.9311,158814626.916,1.25,77662778.4382,80576256.2887,0.0001
2026-07-15T04:00:00+00:00,1784088000000,2574176622.1097,173684009.4284,1.25,65557324.4424,108126555.8086,0.0001
2026-07-15T05:00:00+00:00,1784091600000,2591087199.4562,107278758.2057,1.24,48989306.1186,58289452.0871,0.0001
2026-07-15T06:00:00+00:00,1784095200000,2591331883.2321,117402189.0588,1.24,58057560.8545,59344628.2042,0.0001
2026-07-15T07:00:00+00:00,1784098800000,2582582401.1816,503706073.0956,1.24,246799399.5474,256881710.1101,0.0001
2026-07-15T08:00:00+00:00,1784102400000,2539879551.8597,392029041.6747,1.26,186832836.1947,204817118.227,0.0001
2026-07-15T09:00:00+00:00,1784106000000,2538451769.9282,167887349.7175,1.28,73834515.5699,94005779.4454,0.0001
2026-07-15T10:00:00+00:00,1784109600000,2547879986.2953,161013122.5965,1.26,95078152.1183,65934970.4781,0.0001
2026-07-15T11:00:00+00:00,1784113200000,2539931543.966,102887993.8232,1.26,50214969.621,52673024.2022,0.0001
2026-07-15T12:00:00+00:00,1784116800000,2533609352.0263,66739945.8387,1.28,29271955.7945,37467990.0442,0.0001
2026-07-15T13:00:00+00:00,1784120400000,2542297606.4337,518861613.2748,1.31,220052802.1159,298650489.9391,0.0001
2026-07-15T14:00:00+00:00,1784124000000,2594298962.2491,993071149.6885,1.28,457297770.4211,534992396.9075,0.0001
2026-07-15T15:00:00+00:00,1784127600000,2597621748.7511,502952279.0075,1.25,245962077.6758,256990201.3316,0.0001
2026-07-15T16:00:00+00:00,1784131200000,2601981476.291,327054705.954,1.24,161723196.3358,165331476.887,2.95691248966e-05
2026-07-15T17:00:00+00:00,1784134800000,2594367294.2868,559085127.1883,1.25,288527338.437,269552952.5744,2.95691248966e-05
2026-07-15T18:00:00+00:00,1784138400000,2626861317.0558,227306917.2756,1.25,113692322.0648,113614595.2108,2.95691248966e-05
2026-07-15T19:00:00+00:00,1784142000000,2623053987.4993,135539844.7245,1.26,79055850.0816,56483994.6429,2.95691248966e-05
2026-07-15T20:00:00+00:00,1784145600000,2604734480.5687,146810147.0611,1.26,78558790.843,67587717.9834,2.95691248966e-05
2026-07-15T21:00:00+00:00,1784149200000,2603556184.9359,52661204.7248,1.27,23317516.7077,29343688.0171,2.95691248966e-05
2026-07-15T22:00:00+00:00,1784152800000,2606139649.8936,59519629.0603,1.27,26824157.5252,32695471.5351,2.95691248966e-05
2026-07-15T23:00:00+00:00,1784156400000,2601420707.6559,84639088.6869,1.28,44315191.7066,40322404.5816,2.95691248966e-05
2026-07-16T00:00:00+00:00,1784160000000,2598583519.8394,76491080.6325,1.28,44822107.0929,31101405.0571,8.11290335628e-05
2026-07-16T01:00:00+00:00,1784163600000,2608095772.6886,208142461.2426,1.28,110453113.3735,96287198.7482,8.11290335628e-05
2026-07-16T02:00:00+00:00,1784167200000,2609061400.6242,183824873.5671,1.27,82323773.0053,101052549.29,8.11290335628e-05
2026-07-16T03:00:00+00:00,1784170800000,2614946039.7005,89989691.8235,1.28,44205056.0915,45783957.4952,8.11290335628e-05
2026-07-16T04:00:00+00:00,1784174400000,2617428894.3567,71775466.0236,1.29,33780427.4853,37995038.5384,8.11290335628e-05
2026-07-16T05:00:00+00:00,1784178000000,2626511431.1336,68270746.1782,1.29,27867993.4785,40401538.4879,8.11290335628e-05
2026-07-16T06:00:00+00:00,1784181600000,2621420515.4089,223622525.778,1.31,95977594.62,127644931.158,8.11290335628e-05
