time,open,high,low,close,tick_volume,spread,real_volume
1785641100,63428.88,63433.32,63404.6,63414.77,59,1000,0
1785641160,63409.32,63429.37,63409.32,63414.2,70,1000,0
1785641220,63414.71,63417.04,63373.4,63373.4,70,1000,0
1785641280,63377.32,63379.14,63363.19,63369.02,59,1000,0
1785641340,63362.79,63381.51,63360.38,63375.6,55,1000,0
1785641400,63375.76,63398.67,63375.63,63376.98,61,1000,0
1785641460,63376.8,63397.87,63376.8,63388.6,60,1000,0
1785641520,63390.18,63406.0,63390.18,63397.26,59,1000,0
1785641580,63397.23,63403.48,63391.24,63393.15,57,1000,0
1785641640,63395.96,63395.96,63379.79,63384.36,55,1000,0
1785641700,63384.87,63395.4,63383.67,63389.79,52,1000,0
1785641760,63390.26,63420.58,63390.16,63397.23,68,1000,0
1785641820,63396.7,63416.57,63396.7,63411.0,58,1000,0
1785641880,63411.46,63416.23,63401.84,63411.18,60,1000,0
1785641940,63411.2,63413.75,63398.49,63398.49,54,1000,0
1785642000,63398.67,63414.24,63397.51,63404.5,58,1000,0
1785642060,63404.48,63413.27,63404.41,63407.21,50,1000,0
1785642120,63407.19,63415.68,63407.08,63412.25,49,1000,0
1785642180,63412.4,63431.9,63409.3,63424.82,58,1000,0
1785642240,63424.45,63431.13,63419.19,63421.45,59,1000,0
1785642300,63425.33,63438.46,63425.33,63437.67,60,1000,0
1785642360,63434.77,63434.77,63423.45,63423.54,35,1000,0
1785642420,63423.55,63434.26,63423.53,63430.58,41,1000,0
1785642480,63430.56,63437.27,63426.01,63426.01,53,1000,0
1785642540,63426.01,63426.1,63398.51,63399.45,63,1000,0
1785642600,63397.48,63407.16,63373.25,63378.99,66,1000,0
1785642660,63382.02,63394.62,63364.89,63384.99,74,1000,0
1785642720,63382.28,63382.28,63372.36,63380.07,53,1000,0
1785642780,63378.49,63380.13,63357.05,63366.97,63,1000,0
1785642840,63367.01,63383.45,63359.2,63371.16,55,1000,0
1785642900,63372.08,63383.66,63355.2,63374.89,71,1000,0
1785642960,63372.28,63378.66,63362.12,63375.2,60,1000,0
1785643020,63375.2,63375.34,63367.95,63373.66,55,1000,0
1785643080,63373.79,63385.97,63372.57,63372.57,58,1000,0
1785643140,63376.24,63395.96,63374.51,63390.64,58,1000,0
1785643200,63388.77,63430.59,63388.77,63427.15,69,1000,0
1785643260,63428.26,63454.98,63428.26,63449.46,64,1000,0
1785643320,63448.28,63450.5,63428.87,63436.16,59,1000,0
1785643380,63436.86,63442.3,63429.89,63439.26,51,1000,0
1785643440,63439.26,63476.03,63439.25,63457.6,85,1000,0
1785643500,63455.46,63479.06,63445.81,63445.81,63,1000,0
1785643560,63445.63,63451.92,63443.06,63444.84,36,1000,0
